Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Oct,10/01/15 00:00,East Bay Municipal Utilities District,Stage 4,Yes,4881,6175,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007Éthe average R-GPCD for Oct from 2005-2007 is 97 gpcd using metered consumption data. The R-GPCD for Oct, 2013 is 88 gpcd. 2. For the PRU and R-GPCD, applied SWRCBÕs recommended methodology of using billing data for the volume of water provided to residential customers in Oct, 2013 as a percentage of Total Monthly Potable Production (TMPP) for Oct, 2013 and applying that ratio to TMPP of Oct, 2015 to get the approximate volume of residential water use for Oct, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. For Commercial, Industrial, and Institutional (CII) water use, EBMUD used a methodology similar to that for calculating R-GPCD. Billing data for the volume of water provided to CII customers in Oct, 2013 as a percentage of Total Monthly Potable Production (TMPP) for Oct, 2013 was calculated, and that ratio was applied to the TMPP for Oct, 2015 to get the approximate volume of CII water use for Oct, 2015.  4. The number of Contact Follow-Ups includes the following actions: email to customer; field visit Ð contact with customer; field visit Ð door hanger; incoming call Ð contact with customer; outgoing call Ð contact with customer; outgoing call Ð voice message; warning letter sent.  ",1390000,68,"EBMUDÕs Board adopted a revised Section 28 of the DistrictÕs Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the StateÕs prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the DistrictÕs authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinancesÉ 1. Excessive Water Use Penalty Ordinance Ð purpose is to prohibit excessive water use when EBMUDÕs Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance Ð purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. The penalties are from excessive use penalties that were issued in October. SeptemberÕs numbers of penalties are 1516. This number wasnÕt included in the September report as there was a lag from when the actual penalty went into effect and when the numbers were available to be published.","EBMUDÕs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the stateÕs emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUDÕs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUDÕs Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",,MG,"4,881,000,000","6,175,000,000",68,60,No Correction,San Francisco Bay,85.98
15-Oct,10/01/15 00:00,Morro Bay  City of,Severly Restricted,Yes,29133677,37234272,G,,10234,59.32,,,0,G,"29,133,677","37,234,272",59.3,64.6,No Correction,Central Coast,75.82
15-Oct,10/01/15 00:00,Yorba Linda Water District,Stage 3,Yes,1264.98,1953.5,AF,,72500,135.72,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average ÒmonthlyÓ usage of each customer class in 2013, minus the SWRCBÕs mandatory 36% reduction.  ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to two times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways: ¥ 9 Water Waster Hotline and 17 Website Applications for customers to notify the District of water waste they observe in the community. Additionally, the City of Yorba Linda forwarded 1 call they received from residents of water waste at locations throughout the City. ¥ Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff. ¥ Field staff assigned to Conservation Education and Investigation of Water Waste in the Community. ¥  123 Water Conservation Ordinance First Violations have been issued. 13 Water Conservation Ordinance Second Violations have been issued- resulting in potentially $1,300 in fines.  ¥ Participation in MWDOCÕs Turf Removal Rebate Program  ¥ Partnered with the City of Yorba Linda to identify and educate customers with a history of irrigation runoff to decrease usage and pollutants entered into the stormwater system.  ¥ Implementation of a Leak Detection Program within the District. Approximately 8 leaks found this month in YLWD-maintained pipe, which have been repaired, and notified customers of approximately 22 leaks found on the customer-maintained side of the pipe. We are following up with the customers to ensure these leaks are also fixed as soon as possible.  Additionally, due to the loss of revenue related to the Emergency Mandate of 36%, the District has raised its base fee effective on October 1, 2015 to cover the cost of providing water service. For a 1 inch meter, this amounts to approximately a $25 increase per billing period. We are encouraging customers to continue to decrease their usage to offset the increased base fee, and to help in meeting the State Emergency Mandate. ",,AF,"412,195,538","636,550,763",135.7,74,No Correction,South Coast,209.59
15-Oct,10/01/15 00:00,Long Beach  City of,3rd level,Yes,4457,5324,AF,,474406,67,,"Launched major conservation initiative Mission H2O Long Beach, that uses traditional and social media to promote conservation, and includes additions to our website: http://missionh2olb.com/",,AF,"1,452,319,810","1,734,832,997",67.2,68,No Correction,South Coast,80.21
15-Oct,10/01/15 00:00,"Los Banos, City of",3,Yes,183481000,234625000,G,,37168,114,,,,G,"183,481,000","234,625,000",114.7,72,No Correction,San Joaquin River,146.61
15-Oct,10/01/15 00:00,Turlock  City of,2,Yes,510.31,638.18,MG,,71181,120.68,,,,MG,"510,310,000","638,180,000",120.7,52.18,No Correction,San Joaquin River,150.91
15-Oct,10/01/15 00:00,Jurupa Community Service District,Level 3,Yes,1861.902,2326.019,AF,,118731,124,,,,AF,"606,703,424","757,936,610",123.6,75,No Correction,South Coast,154.44
15-Oct,10/01/15 00:00,Coastside County Water District,Stage 2,Yes,56.6,68.72,MG,,16668,74,The 43 contacts include high bill notifications and possible leak notifications.,,,MG,"56,600,000","68,720,000",74.5,68,No Correction,San Francisco Bay,90.44
15-Oct,10/01/15 00:00,Citrus Heights Water District,Stage 4 Water Crisis,Yes,919,1297,AF,,67333,141,CHWD has a disconnect/reconnect fee assed if there is non compliance to the Stage 4 water regulations,CHWD is using a night patrol company to enforce the Stage 4 water restrictions,0,AF,"299,457,461","422,629,301",136.3,95,No Correction,Sacramento River,192.35
15-Oct,10/01/15 00:00,Burlingame  City of,2,Yes,101185265,132572552,G,"The City bills customers on a bi-monthly basis.  The estimated volume of Cll and percent residential use is based upon the average of the previous two months of billing data.   Total monthly production is based upon SFPUC meter data for each month. Because the meter readings do not necessarily occur on the first and last day of the month and because the meter reading dates from 2013 do not necessarily correspond with the same meter reading dates as during 2015, the monthly production values have been interpolated to account for the variation in water meter reading dates from SFPUC.   Therefore, the percent residential water use is the ratio of the adjusted monthly water production over the two-month average of billed residential water use. ",30282,61,,,,G,"101,185,265","132,572,552",61.1,56.7,No Correction,San Francisco Bay,80.07
