Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Sep,09/01/15 00:00,East Bay Municipal Utilities District,4,Yes,5060.7,6528.4,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007Ûthe average R-GPCD for Sept from 2005-2007 is 114 gpcd using metered consumption data. The R-GPCD for Sept, 2013 is 97 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in Sept, 2013 as a percentage of Total Monthly Potable Production (TMPP) for Sept, 2013 and applying that ratio to TMPP of Sept, 2015 to get the approximate volume of residential water use for Sept, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. For Commercial, Industrial, and Institutional (CII) water use, EBMUD used a methodology similar to that for calculating R-GPCD. Billing data for the volume of water provided to CII customers in Sept, 2013 as a percentage of Total Monthly Potable Production (TMPP) for Sept, 2013 was calculated, and that ratio was applied to the TMPP for Sept, 2015 to get the approximate volume of CII water use for Sept, 2015.  4. The number of Contact Follow-Ups includes the following actions: email to customer; field visit _ contact with customer; field visit _ door hanger; incoming call _ contact with customer; outgoing call _ contact with customer; outgoing call _ voice message; warning letter sent.  ",1390000,74,"EBMUDs Board adopted a revised Section 28 of the Districts Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the States prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the Districts authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinancesÛ 1. Excessive Water Use Penalty Ordinance _ purpose is to prohibit excessive water use when EBMUDs Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance _ purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ","1. EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUDs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUDs Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",-99999,NULL,"5,060,700,000","6,528,400,000",74,61,No Correction,San Francisco Bay,95.46141838
15-Sep,09/01/15 00:00,Morro Bay  City of,Severly Restricted,Yes,30354644,36627545,G,,10234,60.7,,,0,G,"30,354,644","36,627,545",60.7,61.4,No Correction,Central Coast,73.2438826
15-Sep,09/01/15 00:00,Yorba Linda Water District,Stage 3,Yes,1259.22,2236.5,AF,,72500,139.6,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average _monthlyî usage of each customer class in 2013, minus the SWRCBs mandatory 36% reduction.  ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to two times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  11 Water Waster Hotline and 25 Website Applications for customers to notify the District of water waste they observe in the community. Additionally, the City of Yorba Linda forwarded 1 calls they received from residents of water waste at locations throughout the City.   Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff assigned to Conservation Education and Investigation of Water Waste in the Community.   69 Water Conservation Ordinance First Violations have been issued. 2 Water Conservation Ordinance Second Violations have been issued- resulting in $200 in fines.   Participation in MWDOCs Turf Removal Rebate Program   Partnered with the City of Yorba Linda to identify and educate customers with a history of irrigation runoff to decrease usage and pollutants entered into the stormwater system.   Implementation of a Leak Detection Program within the District. Approximately 52 leaks found thus far in YLWD-maintained pipe, which have been repaired, and notified customers of approximately 42 leaks found on the customer-maintained side of the pipe. We are following up with the customers to ensure these leaks are also fixed as soon as possible. ",-99999,NULL,"410,318,634","728,766,716",139.6,74,No Correction,South Coast,247.9434886
15-Sep,09/01/15 00:00,Long Beach  City of,3rd level,Yes,4445,5463,AF,,474225,69,,,-99999,NULL,"1,448,409,593","1,780,126,346",69.2,68,No Correction,South Coast,85.04827898
15-Sep,09/01/15 00:00,"Los Banos, City of",3,Yes,216686000,285980000,G,,37168,134,,,-99999,NULL,"216,686,000","285,980,000",134.1,69,No Correction,San Joaquin River,176.9838291
15-Sep,09/01/15 00:00,Turlock  City of,2,Yes,549.4,745.22,MG,,71181,142.82,,,-99999,NULL,"549,400,000","745,220,000",142.8,55.51,No Correction,San Joaquin River,193.6975173
15-Sep,09/01/15 00:00,Jurupa Community Service District,Level 3,Yes,1899.173,2748.802,AF,,118731,129,,,-99999,NULL,"618,848,232","895,701,054",128.6,74,No Correction,South Coast,186.1315095
15-Sep,09/01/15 00:00,Coastside County Water District,Stage 2,Yes,59.07,66.04,MG,,16668,45,,,-99999,NULL,"59,070,000","66,040,000",44.9,38,No Correction,San Francisco Bay,50.19800237
15-Sep,09/01/15 00:00,Citrus Heights Water District,Stage 4 Water Crisis,Yes,1070,1510,AF,,67333,160,,,0,AF,"348,661,027","492,035,655",164,95,No Correction,Sacramento River,231.4392524
15-Sep,09/01/15 00:00,Burlingame  City of,2,Yes,104788954,149219599,G,"The estimated volume of CII and percent residential use is based upon bi-monthly billing data. The CII and percent residential calculations are the average value over August and September billing cycles. Total monthly production is based upon SFPUC meter data. Because the meter readings do not necessarily occur at the beginning and end of the month and because the readings from 2013 do not necessarily correspond with the same days as during 2015, the monthly production values have been interpolated to account for the variation in water meter reading days from SFPUC.  For the same reason, the percent residential is the ratio of the average volume of billed residential water used over two months divided by the average total produced water over two months.    Percent residential and CII use assumed to be equal to August 2015 values due to the unavailability of data for the month of September at the time of submitting this report. ",30282,64,,,-99999,NULL,"104,788,954","149,219,599",64.2,55.7,No Correction,San Francisco Bay,91.42087873
15-Sep,09/01/15 00:00,Orange Vale Water Company,4,Yes,378.91,520.27,AF,,14283,243,,,0,AF,"123,468,364","169,530,722",242,84,No Correction,Sacramento River,332.2829703
15-Sep,09/01/15 00:00,Dublin San Ramon Services District,2,Yes,227.292,376.294,MG,,79593,67.4,,,0.407,MG,"227,292,000","376,294,000",67.4,70.8,No Correction,San Francisco Bay,111.5842863
