Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
14-Jul,07/01/2014 00:00,East Bay Municipal Utilities District,Moderate,Yes,6590.1,7452.8,MG,"1. Single Family Residential is 49 percent of total use; Multi-Family Residential is 20% of total use. 2. EBMUD has mandatory prohibitions restricting outdoor use, and EBMUD has undertaken a public outreach campaign asking all San Francisco East Bay customers to voluntarily cut back their total water use by 10 percent. EBMUD requested voluntary water use reduction in its service area on February 11, 2014; and through July 31, 2014 actual water production was 10.7 percent less in 2014 than for the same period in 2013.",1330000,110.3,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement actions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 so as to comply with the States emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies EBMUDs outreach efforts to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",-99999,NULL,6590100000,7452800000,110.3,0.69,No Correction,San Francisco Bay,124.7
14-Jul,07/01/2014 00:00,Morro Bay  City of,Severely Restricted,Yes,37625206,42026752,G,See June 2014 monthly report,10608,70.1,see June 2014 report,See June 2014 report,-99999,NULL,37625206,42026752,70.1,0.613,No Correction,Central Coast,78.3
14-Jul,07/01/2014 00:00,Yorba Linda Water District,Permanent Restrictions Only,Yes,2352.1,2348.8,AF,,73990,227.2,,"The State's Emergency Regulations regarding outdoor water use, including prohibitions on washing down hard or paved surfaces, runoff caused by over irrigation, using a hose without an automatic shut-off nozzle and using potable water in fountains without water recirculation are part of YLWD's Permanent Water Use Restrictions and have been in effect since July 1, 2009.",-99999,NULL,766435141,765359832,227.2,0.68,No Correction,South Coast,226.9
14-Jul,07/01/2014 00:00,Long Beach  City of,1st level (Imminent Shortage),Yes,5359,5598,AF,"     The original estimate of R-GPCD used the metered water use numbers as they come to the Water Department from the City's billing system in a monthly extract of the City's billing data; although we can get this data relatively quickly, it is not as accurate as the data eventually produced by our Finance Division.   The original estimate of R-GPCD also included non-revenue water, allocating the non-revenue water to each customer class in proportion to that classes metered water use.        And the original estimate of R-GPCD used the population estimate provided by the Calif Dept of Finance in early 2014.  These revised estimates exclude non-revenue water, use the more refined metered water use numbers as determined by the Water Dept's finance section, and use the population estimate of the Calif Dept of Finance for calendar year 2014, as revised in early 2015, and prorated for the months in question.       Data submitted for the month of July 2014 included a population estimate of 471,000 and residential metered use of 1,465,702  HCF;  and proportionate share of metered demand of 71% ; and this percent of the total water into the system resulted in a R-GPCD reported at 88 R-GPCD.      The revised data includes the revised Calif DoF estimate of 471,694 (prorated throughout the year); uses just metered residential use as determined by the Water Department's Finance Division, 1,631,583 HCF; resulting in 83 R-GPCD.",471694,83,,,-99999,NULL,1746237797,1824116288,83.6,0.7,No Correction,South Coast,87.3
14-Jul,07/01/2014 00:00,"Los Banos, City of",3,Yes,311181000,337551000,G,,37168,170,,,-99999,NULL,311181000,337551000,170.1,0.63,No Correction,San Joaquin River,184.6
14-Jul,07/01/2014 00:00,Turlock  City of,1,Yes,796,927,MG,,71181,216.4,,,36,MG,796000000,927000000,216.4,0.6,No Correction,San Joaquin River,252.1
14-Jul,07/01/2014 00:00,Jurupa Community Service District,Level 2,Yes,3019.297,3066.804,AF,Re-filing of drought report using updated population numbers.,118731,157.7,,,-99999,NULL,983842236,999322460,157.7,0.59,No Correction,South Coast,160.2
14-Jul,07/01/2014 00:00,Coastside County Water District,Stage 2,Yes,74.76,75.61,MG,"Reporting percentage residential use on a monthly basis does not reflect actual residential use, since production data is monthly and residential data is bi-monthly. This percentage should not be used.  Note: this is the second report submitted for July 2014. The first report did not have the correct production for July 2013.",16652,50,,,-99999,NULL,74760000,75610000,50,0.345,No Correction,San Francisco Bay,50.5
14-Jul,07/01/2014 00:00,Citrus Heights Water District,Stage 3 Water Warning,Yes,1622,2059,AF,Based on customer classification or category,67475,214.8,,,-99999,NULL,528531015,670928088,214.8,0.85,No Correction,Sacramento River,272.6
14-Jul,07/01/2014 00:00,Burlingame  City of,2,Yes,143463533,165877230,G,,30282,98,,,-99999,NULL,143463533,165877230,97.8,0.64,No Correction,San Francisco Bay,113.1
14-Jul,07/01/2014 00:00,Orange Vale Water Company,3,Yes,579.37,737.1,AF,,15200,380.6,,,-99999,NULL,188788541,240185087,380.6,0.95,No Correction,Sacramento River,484.2
14-Jul,07/01/2014 00:00,Dublin San Ramon Services District,3,Yes,274.032,412.275,MG,"In the previous July 2014 report this number was estimated at 80%.  With recent data gathered, this number was calculated to be 67.3%.  this data is gathered by DSRSD's computer system and this percentage includes all residential categories and the prison and jail units.",77780,76.5,,,-99999,NULL,274032000,412275000,76.5,0.673,No Correction,San Francisco Bay,115.1
14-Jul,07/01/2014 00:00,Los Angeles Department of Water and Power,Phase 2,Yes,50886,54764,AF,"Total water production was re-submitted to include final supply volume instead of preliminary supply volume. Population was re-submitted to account for monthly projected increases in population change. Temperature - July 2014 was 2.6 degrees hotter than July 2013, and 6.7 degrees hotter than June 2014. ",3954519,92,"LADWP staffs the Water Conservation Response Unit (WCRU) who actively patrols Los Angeles communities and enforces the Citys Water Shortage Contingency Plan, which is called the Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. Repeat violators are issued monetary fines ranging from $100-$600.","LADWP implements multiple conservation programs:  Extensive water conservation rebate and incentives programs  Outreach & Education campaign which includes media advertising and community outreach  City facility water conservation retrofits  Local water conservation ordinances Please see LADWP's submission to the SWRCB on June 6th which provides detailed information on our water conservation programs, drought response, and enforcement. ",1283,AF,16581275714,17844927548,92,0.68,No Correction,South Coast,99
14-Jul,07/01/2014 00:00,Camrosa Water District,n/a,No,965.8,1008.09,AF,NULL,35738,188.93,,,-99999,NULL,314707308,328487565,187.5,0.66,No Correction,South Coast,195.7
14-Jul,07/01/2014 00:00,El Dorado Irrigation District,2,Yes,4291,5840,AF,Monthly production includes estimated agricultural use of 19.05%. The estimated percentages for residential and agricultural use vary from month to month due to the Districts bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 415 acre-feet of recycled water produced for uses that would otherwise require potable water.,128500,228.5,,,-99999,NULL,1398228473,1902972334,228.5,0.651,No Correction,Sacramento River,311
14-Jul,07/01/2014 00:00,El Centro  City of,None,Yes,289390000,292870000,G,"We have adopted the state guidelines from the latest regulation.  Residential use does not include commercial, landscaping or industry.",44311,126.4,No enforcement actions have been taken. The process is: 1. education 2. notification 3. minor fine 4. increasing fine 5. criminal prosecution,We are focusing on education efforts at this time.,-99999,NULL,289390000,292870000,126.4,0.6,No Correction,Colorado River,127.9
14-Jul,07/01/2014 00:00,Milpitas  City of,,Yes,447498,496901,CCF,2 month bill cycle,70817,50,,,-99999,NULL,334751751,371707761,71.7,0.47,No Correction,San Francisco Bay,79.6
14-Jul,07/01/2014 00:00,Santa Rosa  City of,Stage 1 - Mandatory,Yes,741853428,864389151,G,,170093,99.9,"The City has implemented Stage 1 - Mandatory.   The City has implemented weekly water watch patrols and also provides options for the community to report water waste and Stage 1 Mandatory violations through our website, hotline and MySantaRosa app.  Water Use Efficiency staff and City field crews have been trained and can door tag any home or business for a violation.  The City has a progressive enforcement program that starts with information and education and can ultimately lead to turning off the customers water.","The City has implemented Stage 1 - Mandatory, which requires the following: -20% community-wide reduction in water use; -Compliance with the Citys water waste ordinance which prohibits runoff from irrigated areas and prohibits property side breaks and leaks; -Irrigation can only occur between the hours of 8 PM through 6 AM;   -Prohibits washing down hardscapes unless required for public health and safety; -Prohibits using potable water for street washing;  -Requires shut-off hose nozzles for all garden and utility hoses; and - Requires Water-on-request at all restaurants. The City is providing information to the community through bill inserts, bill face messages, social media, dedicated website, radio and newspaper ads.  The City offers numerous rebates and incentive programs, including free home and commercial audits. The City continues to participate in the regional media campaign - ""There's a Drought On. Turn the Water Off.""  The media campaign includes newspaper and radio ads, before the movie ads, dedicated website, and local cable channel video. In addition, a DIY Outdoor Drought Solutions event will be held August 23rd from 10AM - 4PM to educate the community about outdoor efficiency, rebates and incentive programs.",7,MG,741853428,864389151,99.9,0.71,No Correction,North Coast,116.4
14-Jul,07/01/2014 00:00,Westminster  City of,Level One Water Supply Shortage ,Yes,1204.4,1204.9,AF,"1204.4 af x 75.2% = 905.7af x 325,851 gal/af = 295,126,118.2 gallons 295,126,118.2 gallons / 93322 cap = 3162.45 3162.45 cap / 31 days = 102 R-GPCD",93322,102,,,-99999,NULL,392455459,392618384,102,0.752,No Correction,South Coast,102.1
14-Jul,07/01/2014 00:00,Mid-Peninsula Water District,None,No,134669,156081,CCF,,26030,106.1,,,-99999,NULL,100739408,116756696,106.1,0.85,No Correction,San Francisco Bay,123
14-Jul,07/01/2014 00:00,Olivenhain Municipal Water District,2,Yes,2459.9,2355.9,AF,No revenue will be collected for 5.76 AF of water usage reported by water treatment plant and system operators.    64%-Usage by code (customer sector) is not available at the time of reporting so a three-year average of water used by residential customers in this month is used.   Population is based on figures calculated by California Department of Finance.  Wholesale invoices are used for production data.  Recycled water totals are not available at time of reporting.,83368,198,,,-99999,NULL,801561925,767673377,198.5,0.64,No Correction,South Coast,190.1
14-Jul,07/01/2014 00:00,Daly City  City of,II,Yes,276203,301828,CCF,"Total Accts 22,417 SF+MF                 21,623 % Other               -3.54% % residential 96.46% ",103347,48,,,-99999,NULL,206614192,225783023,61.9,0.96,No Correction,San Francisco Bay,67.7
14-Jul,07/01/2014 00:00,Delano  City of,Stage 2,Yes,353.9,389.3,MG,Used current Urban Water Management Plan,48957,121.3,,,-99999,NULL,353900000,389300000,121.3,0.52,No Correction,Tulare Lake,133.4
14-Jul,07/01/2014 00:00,Anaheim  City of,N/A,Yes,6830,6864,AF,"The monthly production includes groundwater, imported water, and water from storage.  The Residential Use Percentage excludes system water losses. ",356762,112.7,,,-99999,NULL,2225565246,2236644195,112.7,0.56,No Correction,South Coast,113.3
14-Jul,07/01/2014 00:00,Elsinore Valley Municipal Water District,II,Yes,2879.1,3242.9,AF,"This monthly report has been updated to reflect changes in R-GPCD values due to changes to the Percent Residential Use (PRU) factor and updated population values.  For all monthly submissions until December 2015, Elsinore Valley Municipal Water District (EVMWD) assumed that all water (residential and commercial) utilized for landscape irrigation would be considered in the estimation of the PRU.  Based on discussions with SWRCB, it became clear to EVMWD that commercial customers with irrigation demands should not be included in the estimation of the PRU. EVMWD also submitted a memorandum to Eric Oppenheimer documenting these changes.  For all the monthly submissions, EVMWD was using an old population value  from prior Electronic Annual Reports (EAR). However, during the review process, it was found out that EVMWD could use updated population values by applying SWRCB suggested methodology to estimate population (Simplified California Urban Water Service Area Population Methodology).  EVMWD submitted an email to Mark Emmerson documenting these changes. SWRCB staff advised EVMWD to send updated R-GPCD numbers. ",146960,150.8,,,720.8,AF,938158843,1056703593,150.3,0.73,No Correction,South Coast,169.3
14-Jul,07/01/2014 00:00,Coachella Valley Water District,2,Yes,13298.6,13525.4,AF,"Data obtained from city planning departments within the Coachella Valley Water District service area indicated a ""snowbird"" or seasonal population of approximately 32.8%.  Total population for this report was adjusted from the original census data to include these residents who own homes and use potable water for landscape purposes in all months of the year.",301633,324.4,,,-99999,NULL,4333367787,4407270891,324.4,0.7,No Correction,Colorado River,329.9
14-Jul,07/01/2014 00:00,Lake Hemet Municipal Water District,3,Yes,1165.5,1316.3,AF,,52914,153.5,,,-99999,NULL,379779838,428918233,153.5,0.663,No Correction,South Coast,173.4
14-Jul,07/01/2014 00:00,Carmichael Water District,2,Yes,373.21,470.97,MG,Carmichael Water District collects meter use data on a bimonthly basis.  Half of the meters are read each month therefore data is not available until the end of the following month.  The above percentage is an estimate based on previous years data.,38354,269.9,,,-99999,NULL,373210000,470970000,269.9,0.86,No Correction,Sacramento River,340.7
14-Jul,07/01/2014 00:00,Monte Vista Water District,1,Yes,1068.36,1184.8,AF,"Service Area Population: The State Boards recommended methodology determines a non-municipal service area population by obtaining 2010 U.S. Census data and adjusting based on growth in combined single-family and multi-family residential connections. Using this method, the District has seen no population growth over the past five years. However, our records show that at least three multi-family residential complexes with 453 additional residential units have been developed in the District since 2010. Additionally, the Department of Finance estimates that the population of the city of Montclair, which is served entirely by the District and comprises two-thirds of the Districts retail service area, grew by 1.9% between 2010 and 2014. It is, therefore, more appropriate to calculate the Districts retail service area population based on known, proven, and documented growth rather than by changes in the number of residential connections. Calculation: 2010 US Census population = 53425 + 1.9% = 54460. Calculation can be cross-checked by multiplying added multi-family residential units from 2010 to 2014 (all in Montclair) by average persons per household and occupancy rate for Montclair in 2014 (Department of Finance estimates). Calculation: 453 x 3.86 = 1749 x 96.1% = 1680. Added to 2010 population of 53425 provides a 2014 est. population of 55105. As a result, 54460 appears to be a conservative estimate for District's service area population. This number is also consistent with the District's latest monitoring reports.   Percent Residential Use: The State Boards recommended methodology is to use billing data for the volume of water provided to residential customers from the previous year as a percentage of total monthly potable water production. The District originally interpreted this recommendation as taking the percentage of residential billing usage based on total billed usage and then applying this percentage to total production. However, the District has reviewed statewide reporting data and finds that other agencies have developed their residential use percentage based on total production rather than total billed usage. This method more accurately reflects the percentage of residential demand compared to all other demands in the given period, including non-revenue water uses. As we bill bimonthly, we are using discretion per the guidance in comparing total annual production to total residential consumption for Fiscal Year 2013-14. Calculation: 6628 Total Residential Consumption / 10304 Total Production = 64% Percent Residential Use. ",54460,133,,,-99999,NULL,348126631,386068771,132,0.64,No Correction,South Coast,146.4
